model,series,x,bf
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,0,1.8927235647677874
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,1,1.9103058267365003
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,2,1.6643222475925268
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,3,1.5330570808517647
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,4,1.558303809223524
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,5,1.5847704563648974
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,6,1.566043856904988
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,7,1.7087841558341288
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,8,1.717009882997634
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,9,1.7730286783539586
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,10,1.788138261341823
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,11,1.8041343472260423
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,12,1.8194174973786479
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,13,1.8263140554346435
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,14,1.8290652716477698
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,15,1.8321624655784337
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,16,1.8277372617641765
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,17,1.8240437383886559
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,18,1.8198627680047634
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,19,1.812801056306535
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,20,1.807306610698926
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,21,1.8033289282164346
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,22,1.7974203458707947
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,23,1.7928571841638328
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,24,1.7874827273201805
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,25,1.782467855427013
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,26,1.7758073046453438
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,27,1.7689424804372458
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,28,1.7644517407228129
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,29,1.7588939428753716
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,30,1.7522294458120755
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,31,1.746699859266796
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,32,1.7424766831957903
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,33,1.7376056093173735
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,34,1.7339412893427268
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,35,1.7296825884933553
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,36,1.7268976899855522
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,37,1.7241663480249951
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,38,1.7217932193486432
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,39,1.7192515047686885
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,40,1.716839674399219
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,41,1.7147773331073686
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,42,1.7127712098147143
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,43,1.7101471744389725
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,44,1.708247044610564
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,45,1.7062474453308294
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,46,1.7043922881448388
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,47,1.7025894652511426
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,48,1.6999794583635661
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,49,1.6982328317096065
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,50,1.6966856756211357
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,51,1.6955817846620622
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,52,1.6942760235153134
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,53,1.6928367024831017
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,54,1.6907862144923578
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,55,1.6893346810947552
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,56,1.6877237179580453
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,57,1.6857423037982773
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,58,1.6843901477854704
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,59,1.6826220391608648
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,60,1.6802488888247702
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,61,1.6784951763561722
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,62,1.6761944476603736
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,63,1.6745667023177133
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,64,1.6722136143935458
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,65,1.6703215900089865
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,66,1.6685109300889989
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,67,1.6662936256661478
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,68,1.6648191846965759
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,69,1.663131989637702
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,70,1.661212420942524
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,71,1.6592637281330462
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,72,1.6569861237289978
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,73,1.6550364480347772
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,74,1.6537537233057986
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,75,1.652598056557172
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,76,1.6510374541765032
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,77,1.6493621169314436
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,78,1.6482829349374353
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,79,1.646780197630818
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,80,1.645236820489423
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,81,1.6431359314862315
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,82,1.6419482545229658
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,83,1.6405064070272593
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,84,1.639226336282532
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,85,1.6378315526843752
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,86,1.6365424255095045
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,87,1.6354267495582604
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,88,1.6342797907938678
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,89,1.6332934222850717
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,90,1.6317814641333837
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,91,1.6309929971395707
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,92,1.6299439083529694
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,93,1.6289410818225363
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,94,1.6277714812080415
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,95,1.6262488240645465
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,96,1.6248978884636402
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,97,1.62381386853079
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,98,1.6226312284961701
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,99,1.6215081151704018
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,100,1.6203284863553113
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,101,1.61914854792766
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,102,1.6182220869515727
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,103,1.6177862814698207
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,104,1.6168021941237871
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,105,1.6156858075571918
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,106,1.6148502981271924
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,107,1.6140962496733833
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,108,1.613509115668458
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,109,1.6126421061806235
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,110,1.6117082898175275
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,111,1.610757090844773
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,112,1.6097868536701312
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,113,1.6087730841453973
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,114,1.608242239469516
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,115,1.6074188589140623
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,116,1.6067544431792637
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,117,1.6057632916763882
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,118,1.605089008909668
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,119,1.6042319272430732
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,120,1.6037273685983524
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,121,1.6028024047979323
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,122,1.6020024901415122
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,123,1.6012007909107842
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,124,1.6001926956311283
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,125,1.5995793111634067
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,126,1.5985899263641088
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,127,1.5975270589751671
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,128,1.5969122637861053
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,129,1.5960737237326312
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,130,1.5956669353826163
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,131,1.5950767818519425
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,132,1.5944554481538682
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,133,1.5936398657585962
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,134,1.5930093439996023
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,135,1.5924453894563693
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,136,1.5919113261741327
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,137,1.5912626920587596
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,138,1.59047437077759
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,139,1.589716139943188
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,140,1.5891208210625607
Meta-Llama-3-8B-Instruct,self_conditioned_baseline,141,1.5885846817742726
