model,series,x,bf
Meta-Llama-3-8B,self_conditioned_baseline,0,18.45047434918666
Meta-Llama-3-8B,self_conditioned_baseline,1,15.153785020164854
Meta-Llama-3-8B,self_conditioned_baseline,2,14.98280739811225
Meta-Llama-3-8B,self_conditioned_baseline,3,14.977650581309463
Meta-Llama-3-8B,self_conditioned_baseline,4,14.839482358869386
Meta-Llama-3-8B,self_conditioned_baseline,5,14.695194522012027
Meta-Llama-3-8B,self_conditioned_baseline,6,14.518588905174857
Meta-Llama-3-8B,self_conditioned_baseline,7,14.42548459512459
Meta-Llama-3-8B,self_conditioned_baseline,8,14.304150390973195
Meta-Llama-3-8B,self_conditioned_baseline,9,14.16199696304413
Meta-Llama-3-8B,self_conditioned_baseline,10,14.037539090834317
Meta-Llama-3-8B,self_conditioned_baseline,11,13.896302842338667
Meta-Llama-3-8B,self_conditioned_baseline,12,13.762911188749925
Meta-Llama-3-8B,self_conditioned_baseline,13,13.614635942051704
Meta-Llama-3-8B,self_conditioned_baseline,14,13.494506291555323
Meta-Llama-3-8B,self_conditioned_baseline,15,13.366033400320061
Meta-Llama-3-8B,self_conditioned_baseline,16,13.233238084508109
Meta-Llama-3-8B,self_conditioned_baseline,17,13.116162015897187
Meta-Llama-3-8B,self_conditioned_baseline,18,13.020254470829618
Meta-Llama-3-8B,self_conditioned_baseline,19,12.907958427832098
Meta-Llama-3-8B,self_conditioned_baseline,20,12.79924472188197
Meta-Llama-3-8B,self_conditioned_baseline,21,12.714334158126894
Meta-Llama-3-8B,self_conditioned_baseline,22,12.61745948876072
Meta-Llama-3-8B,self_conditioned_baseline,23,12.536430828572458
Meta-Llama-3-8B,self_conditioned_baseline,24,12.445312848389506
Meta-Llama-3-8B,self_conditioned_baseline,25,12.36230792105362
Meta-Llama-3-8B,self_conditioned_baseline,26,12.268606715830911
Meta-Llama-3-8B,self_conditioned_baseline,27,12.178054559350864
Meta-Llama-3-8B,self_conditioned_baseline,28,12.07811402461301
Meta-Llama-3-8B,self_conditioned_baseline,29,11.98476150779372
Meta-Llama-3-8B,self_conditioned_baseline,30,11.90031969850718
Meta-Llama-3-8B,self_conditioned_baseline,31,11.820655758185358
Meta-Llama-3-8B,self_conditioned_baseline,32,11.749439842284689
Meta-Llama-3-8B,self_conditioned_baseline,33,11.662916570418083
Meta-Llama-3-8B,self_conditioned_baseline,34,11.580612866190368
Meta-Llama-3-8B,self_conditioned_baseline,35,11.497674948062064
Meta-Llama-3-8B,self_conditioned_baseline,36,11.41615955389607
Meta-Llama-3-8B,self_conditioned_baseline,37,11.330525537561677
Meta-Llama-3-8B,self_conditioned_baseline,38,11.252061245299167
Meta-Llama-3-8B,self_conditioned_baseline,39,11.182216290203948
Meta-Llama-3-8B,self_conditioned_baseline,40,11.112779330308733
Meta-Llama-3-8B,self_conditioned_baseline,41,11.04820776241907
Meta-Llama-3-8B,self_conditioned_baseline,42,10.98437950953499
Meta-Llama-3-8B,self_conditioned_baseline,43,10.919123548483297
Meta-Llama-3-8B,self_conditioned_baseline,44,10.85984304312574
Meta-Llama-3-8B,self_conditioned_baseline,45,10.800252911013661
Meta-Llama-3-8B,self_conditioned_baseline,46,10.73261231561688
Meta-Llama-3-8B,self_conditioned_baseline,47,10.65687598795571
Meta-Llama-3-8B,self_conditioned_baseline,48,10.599005558007011
Meta-Llama-3-8B,self_conditioned_baseline,49,10.538626653731827
Meta-Llama-3-8B,self_conditioned_baseline,50,10.47310617187089
Meta-Llama-3-8B,self_conditioned_baseline,51,10.409160851065566
Meta-Llama-3-8B,self_conditioned_baseline,52,10.346405004228323
Meta-Llama-3-8B,self_conditioned_baseline,53,10.286841214470712
Meta-Llama-3-8B,self_conditioned_baseline,54,10.217367641610032
Meta-Llama-3-8B,self_conditioned_baseline,55,10.16362925847396
Meta-Llama-3-8B,self_conditioned_baseline,56,10.106753029002103
Meta-Llama-3-8B,self_conditioned_baseline,57,10.050674771174153
Meta-Llama-3-8B,self_conditioned_baseline,58,9.995540834867363
Meta-Llama-3-8B,self_conditioned_baseline,59,9.938527940207017
Meta-Llama-3-8B,self_conditioned_baseline,60,9.882605027762969
Meta-Llama-3-8B,self_conditioned_baseline,61,9.83328598910798
Meta-Llama-3-8B,self_conditioned_baseline,62,9.784527443588564
Meta-Llama-3-8B,self_conditioned_baseline,63,9.735553044157706
Meta-Llama-3-8B,self_conditioned_baseline,64,9.683962286250726
Meta-Llama-3-8B,self_conditioned_baseline,65,9.637978861480066
Meta-Llama-3-8B,self_conditioned_baseline,66,9.589588223443057
Meta-Llama-3-8B,self_conditioned_baseline,67,9.539576056015438
Meta-Llama-3-8B,self_conditioned_baseline,68,9.48768572516722
Meta-Llama-3-8B,self_conditioned_baseline,69,9.441615493143216
Meta-Llama-3-8B,self_conditioned_baseline,70,9.396260240102563
Meta-Llama-3-8B,self_conditioned_baseline,71,9.349567384684013
Meta-Llama-3-8B,self_conditioned_baseline,72,9.302676560275762
Meta-Llama-3-8B,self_conditioned_baseline,73,9.255537452055314
Meta-Llama-3-8B,self_conditioned_baseline,74,9.21464802578329
Meta-Llama-3-8B,self_conditioned_baseline,75,9.169944208745866
Meta-Llama-3-8B,self_conditioned_baseline,76,9.126113538123874
Meta-Llama-3-8B,self_conditioned_baseline,77,9.083246863699049
Meta-Llama-3-8B,self_conditioned_baseline,78,9.042720324519209
Meta-Llama-3-8B,self_conditioned_baseline,79,9.002166552492378
Meta-Llama-3-8B,self_conditioned_baseline,80,8.959750060162271
Meta-Llama-3-8B,self_conditioned_baseline,81,8.917527341851844
Meta-Llama-3-8B,self_conditioned_baseline,82,8.881061232606545
Meta-Llama-3-8B,self_conditioned_baseline,83,8.841777689916334
Meta-Llama-3-8B,self_conditioned_baseline,84,8.80169201205033
Meta-Llama-3-8B,self_conditioned_baseline,85,8.759936124213237
Meta-Llama-3-8B,self_conditioned_baseline,86,8.720515003123005
Meta-Llama-3-8B,self_conditioned_baseline,87,8.683531047196695
Meta-Llama-3-8B,self_conditioned_baseline,88,8.644671073288631
Meta-Llama-3-8B,self_conditioned_baseline,89,8.609124845768154
Meta-Llama-3-8B,self_conditioned_baseline,90,8.575300574312193
Meta-Llama-3-8B,self_conditioned_baseline,91,8.540598824454674
Meta-Llama-3-8B,self_conditioned_baseline,92,8.504633861579016
Meta-Llama-3-8B,self_conditioned_baseline,93,8.471247717946593
Meta-Llama-3-8B,self_conditioned_baseline,94,8.436296327988163
Meta-Llama-3-8B,self_conditioned_baseline,95,8.402626325431036
Meta-Llama-3-8B,self_conditioned_baseline,96,8.369125932663373
Meta-Llama-3-8B,self_conditioned_baseline,97,8.336351382623192
Meta-Llama-3-8B,self_conditioned_baseline,98,8.30318471027655
Meta-Llama-3-8B,self_conditioned_baseline,99,8.26862730708521
Meta-Llama-3-8B,self_conditioned_baseline,100,8.234004643171478
Meta-Llama-3-8B,self_conditioned_baseline,101,8.202083688468182
Meta-Llama-3-8B,self_conditioned_baseline,102,8.171941947098217
Meta-Llama-3-8B,self_conditioned_baseline,103,8.135873461208817
Meta-Llama-3-8B,self_conditioned_baseline,104,8.106420901118893
Meta-Llama-3-8B,self_conditioned_baseline,105,8.077578985705475
