model,series,x,bf
OLMo2-7B-1124,self_conditioned_baseline,0,35.10293982311135
OLMo2-7B-1124,self_conditioned_baseline,1,33.44233107252633
OLMo2-7B-1124,self_conditioned_baseline,2,32.59550196717492
OLMo2-7B-1124,self_conditioned_baseline,3,31.771037155711397
OLMo2-7B-1124,self_conditioned_baseline,4,31.216462442491725
OLMo2-7B-1124,self_conditioned_baseline,5,30.51122506914619
OLMo2-7B-1124,self_conditioned_baseline,6,29.966609063928384
OLMo2-7B-1124,self_conditioned_baseline,7,29.50399345639552
OLMo2-7B-1124,self_conditioned_baseline,8,29.028790680842818
OLMo2-7B-1124,self_conditioned_baseline,9,28.65113175382471
OLMo2-7B-1124,self_conditioned_baseline,10,28.230321786576578
OLMo2-7B-1124,self_conditioned_baseline,11,27.84489863702715
OLMo2-7B-1124,self_conditioned_baseline,12,27.516463330787914
OLMo2-7B-1124,self_conditioned_baseline,13,27.19720894203501
OLMo2-7B-1124,self_conditioned_baseline,14,26.82945518797011
OLMo2-7B-1124,self_conditioned_baseline,15,26.522886231599472
OLMo2-7B-1124,self_conditioned_baseline,16,26.261363094793122
OLMo2-7B-1124,self_conditioned_baseline,17,25.99209475255857
OLMo2-7B-1124,self_conditioned_baseline,18,25.72711293453392
OLMo2-7B-1124,self_conditioned_baseline,19,25.483876296073557
OLMo2-7B-1124,self_conditioned_baseline,20,25.246898245245315
OLMo2-7B-1124,self_conditioned_baseline,21,25.025418902257826
OLMo2-7B-1124,self_conditioned_baseline,22,24.79600728652513
OLMo2-7B-1124,self_conditioned_baseline,23,24.533720780697454
OLMo2-7B-1124,self_conditioned_baseline,24,24.310785884995525
OLMo2-7B-1124,self_conditioned_baseline,25,24.08490139619726
OLMo2-7B-1124,self_conditioned_baseline,26,23.869663172223717
OLMo2-7B-1124,self_conditioned_baseline,27,23.675434906705195
OLMo2-7B-1124,self_conditioned_baseline,28,23.489302969281344
OLMo2-7B-1124,self_conditioned_baseline,29,23.330351546271665
OLMo2-7B-1124,self_conditioned_baseline,30,23.16020317752169
OLMo2-7B-1124,self_conditioned_baseline,31,22.997111155484976
OLMo2-7B-1124,self_conditioned_baseline,32,22.852740375582897
OLMo2-7B-1124,self_conditioned_baseline,33,22.69811840081806
OLMo2-7B-1124,self_conditioned_baseline,34,22.551978090314904
OLMo2-7B-1124,self_conditioned_baseline,35,22.399390035623146
